HPO编号	主分类(中文)	名称(英文)	定义(英文)	中文译名	中文定义
HP:0031382	免疫系统异常	Decreased lymphocyte proliferation in response to anti-CD3	['A decreased proliferative response of lymphocytes in vitro or in vivo, when stimulated with an anti-CD3 antibody against the T-cell co-receptor, CD3.']	淋巴细胞抗CD3应答性增殖减弱	体外或体内淋巴细胞受CD3抗体与T细胞共受体CD3作用刺激而增殖的应答减弱。
HP:0031383	免疫系统异常	Abnormal lymphocyte surface marker expression	['Abnormal amount of a protein that is normally present on the cell surface of lymphocytes.']	淋巴细胞表面标志物异常表达	常见于淋巴细胞表面的蛋白质表达量异常
HP:0031384	免疫系统异常	Reduced T cell CD40 expression	['A deficiency in the expression of the CD40 ligand on the surface of activated T-lymphocytes.']	T细胞CD40表达降低	活化T淋巴细胞表面的CD40配体表达缺陷。
HP:0031385	血液和造血组织异常	Megakaryocyte nucleus hypolobulation	The presence of megakaryocytes in the bone marrow whose nuclei are less lobulated than expected for the size of the nucleus.	巨核细胞的细胞核分叶状过少	骨髓中存在的巨核细胞其细胞核比预期大小的细胞核分叶状少。
HP:0031386	血液和造血组织异常	Increased micromegakaryocyte count	The presence of abnormally high numbers of micromegakaryocytes in the bone marrow. Micromegakaryocytes are mononuclear diploid cells, with a nucleus similar in size to that of a myeloblast or promyelocyte with the cell being less than 30 micrometers in diameter.	小巨核细胞计数增加	在骨髓中小巨核细胞数目异常增多，小巨核细胞是单核二倍体细胞，其细胞核大小与原始粒细胞或早幼粒细胞的大小相似，细胞直径小于30微米。
HP:0031387	血液和造血组织异常	Increased multinucleated megakaryocyte count	The presence of abnormally high numbers of multinucleated megakaryocytes in the bone marrow.	多核巨核细胞计数增加	在骨髓中，巨核细胞的数量异常增多。
HP:0031388	血液和造血组织异常	Megakaryocyte nucleus hyperlobulation	The presence of megakaryocytes in the bone marrow whose nuclei are more lobulated than expected for the size of the nucleus.	巨核细胞的细胞核分叶状过多	骨髓中存在的巨核细胞其细胞核比预期大小的细胞核分叶状多。
HP:0031389	免疫系统异常	Abnormal MHC II surface expression	['A deviation from the normal level of major histocompatibility complex class II molecules expressed at the cell surface.']	表面MHC II表达异常 	细胞表面主要组织相容性复合体II分子表达偏离正常水平
HP:0031390	免疫系统异常	Reduced MHC II surface expression	['A reduction from the normal level of major histocompatibility complex class II molecules expressed at the cell surface.']	表面MHC-II表达降低	细胞表面主要组织相容性复合体II分子表达低于正常水平
HP:0031391	免疫系统异常	Elevated MHC II surface expression	['An increase above the normal level of major histocompatibility complex class II molecules expressed at the cell surface.']	MHCⅡ表面表达增高	细胞表面主要组织相容性复合体II分子表达高于正常水平
HP:0031392	免疫系统异常,血液和造血组织异常	Abnormal proportion of CD4 T cells	['Any abnormality in the proportion of CD4 T cells relative to the total number of T cells.']	CD4T细胞比例异常	CD4阳性T细胞相对于总T细胞的比例异常
HP:0031393	免疫系统异常,血液和造血组织异常	Abnormal proportion of CD8 T cells	['Any abnormality in the proportion of CD8 T cells relative to the total number of T cells.']	CD8T细胞比例异常	CD8阳性T细胞相对于总T细胞的比例异常
HP:0031394	免疫系统异常,血液和造血组织异常	Abnormal CD4:CD8 ratio	['Any abnormality in the relative amount of CD4+ and CD8+ T lymphocytes.']	CD4/CD8比值异常	CD4+T淋巴细胞与CD8+淋巴细胞的比例异常
HP:0031396	免疫系统异常,血液和造血组织异常	Abnormal proportion of naive T cells	['Any abnormality in the proportion of naive T cells relative to the total number of T cells.']	幼稚T细胞比例异常	幼稚T细胞相对于总T细胞的比例异常
HP:0031397	免疫系统异常,血液和造血组织异常	Reduced proportion of naive T cells	An abnormally decreased proportion of naive T cells relative to the total number of T cells.	幼稚T细胞比例降低	幼稚T细胞在总T细胞中所占比例异常降低
HP:0031398	免疫系统异常,血液和造血组织异常	Elevated proportion of naive T cells	['An abnormally increased proportion of naive T cells relative to the total number of T cells.']	幼稚T细胞比例升高	幼稚T细胞在总T细胞中所占比例异常升高
HP:0031399	免疫系统异常,血液和造血组织异常	Abnormal proportion of double-negative alpha-beta regulatory T cell	An abnormal proportion of CD4-negative, CD8-negative (double negative or DN) alpha-beta regulatory T cells (Tregs) as compared to total number of T cells.	α/β双阴性调节性T细胞比例异常	CD4和CD8均为阴性（双阴性）的α/β调节T细胞占总T细胞的比例异常
HP:0031401	免疫系统异常,血液和造血组织异常	Reduced proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	An abnormally decreased proportion of CD4-negative, CD8-negative (double negative or DN) alpha-beta regulatory T cells (Tregs) as compared to total number of T cells	CD4和CD8阴性的α-β调节性T细胞比例降低	CD4和CD8均为阴性（双阴性）的α/β调节T细胞占总T细胞的比例异常降低。
HP:0031402	免疫系统异常,代谢紊乱/稳态失衡	Reduced antigen-specific T cell proliferation	['Impaired proliferation and expansion of a T cell population following activation by an antigenic stimulus.']	抗原特异性T细胞增殖减弱	抗原激活T细胞群体的增殖和扩张能力受损
HP:0031403	免疫系统异常	Impaired pathogen-specific CD8 cytoxicity	Impaired response of CD8 T cells to pathogens. CD8 T cells direct the killing of a target cell through the release of granules containing cytotoxic mediators or through the engagement of death receptors.	病原体特异性CD8细胞毒性受损	CD8 T细胞对病原体的应答受损。CD8 T细胞通过释放含有细胞毒性介质的颗粒或通过死亡受体指导靶细胞杀伤。 
HP:0031404	免疫系统异常	Impaired antigen-specific response	['An impaired immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory).']	抗原特异性应答损伤	抗原特异性受体介导的免疫应答损伤。抗原特异性应答是指通过体细胞多样化过程表达抗原特异性受体而形成的免疫应答，后续同种抗原的暴露会产生增强的二次应答（即免疫记忆）。
HP:0031405	肿瘤,体壁的异常	Poroma	A benign, well circumscribed sweat gland neoplasm with eccrine or apocrine differentiation. It usually presents as a solitary, dome-shaped papule, nodule, or plaque on acral sites. It is characterized by a proliferation of uniform basaloid cells in the dermis and it is associated with the presence of focal ductal and cystic structures [NCIT:C27273].	汗孔瘤	一种良性皮肤汗腺肿瘤，伴外泌或顶泌细胞分化。 通常表现为孤立的圆顶状丘疹、结节或肢体部位的斑块。 其特征是在真皮中均匀分布的基底细胞增生，并且与导管、囊状结构的病灶相关[NCIT：C27273]。
HP:0031406	免疫系统异常	Abnormal cytokine signaling	['Any abnormality in the series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription.']	异常细胞因子信号转导 	细胞因子信号转导的异常。细胞因子信号转导途径是一系列信号分子反应，始于细胞因子与表面受体结合，止于下游细胞过程的调节（例如转录）。
HP:0031407	免疫系统异常	Impaired cytokine signaling	['A defect or impairment in the series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription.']	细胞因子信号转导障碍 	细胞因子信号转导反应的缺陷或损伤。细胞因子信号转导是一系列信号分子反应，始于细胞因子与表面受体结合，止于下游细胞过程的调节（例如转录）。
HP:0031408	免疫系统异常,血液和造血组织异常,结缔组织异常	Increased proportion of CD25+ mast cells	An increased proportion of mast cells are positive for the cell surface marker CD25 (also called interleukin-2 receptor alpha chain).	CD25+肥大细胞比例增加	CD25（白介素2受体α链）阳性的肥大细胞比例增加
HP:0031409	免疫系统异常	Abnormal lymphocyte physiology	['Any anomaly of lymphocyte function.']	异常淋巴细胞生理	淋巴细胞功能的任何异常
HP:0031410	免疫系统异常,血液和造血组织异常	Abnormal distribution of CD56 bright/dim natural killer cells	An abnormal distribution in the number of CD56 bright NK cells, as measured by flow cytometry. CD56 the adhesion molecule mediating homotypic adhesion, and is used as a functional marker for NK cells.	CD56亮/暗自然杀伤细胞异常分布	经流式细胞术检测，CD56明亮NK细胞数量分布异常。CD56是介导同种黏附的黏附分子，被用作NK细胞的功能标记。
HP:0031414	代谢紊乱/稳态失衡	High serum calcifediol	['An increased concentration of calcifediol in the blood. Calcifediol is also known as 25-hydroxycholecalciferol or 25-Hydroxyvitamin D3.']	血清骨化二醇增高	血液中骨化三醇浓度增高，骨化三醇也称为25-羟胆钙化醇或25-羟维生素D3
HP:0031415	代谢紊乱/稳态失衡	High serum calcitriol	An increased concentration of calcitriol in the blood. Calcitriol is also known as 1,25-dihydroxycholecalciferol or 1,25-dihydroxyvitamin D3.	血清骨化三醇增高	血液中骨化三醇浓度增高，骨化三醇也称为1，25-二羟胆钙化醇或1，25-二羟维生素D3
HP:0031416	呼吸系统异常	Abnormal nasal mucus secretion	['Any deviation from the normal quantity of secretion of nasal mucus, a thick viscous liquid produced by the mucous membranes of the nose.']	鼻黏液分泌异常	鼻黏膜产生的黏稠液体超出或少于正常量。
HP:0031417	呼吸系统异常	Rhinorrhea	['Increased discharge of mucus from the nose.']	鼻溢液 	鼻分泌物排出量增加。
HP:0031418	生长异常	Increased body mass index	Abnormally increased weight-to-height squared ratio, calculated by dividing the individual's weight in kilograms by the square of the individual's height in meters and used as an indicator of underweight compared to averages.	身体质量指数增加	体重与身高的平方比率的异常增加，计算方法是将个人体重(公斤)除以个人身高(米)的平方，用来作为体重低于平均水平的指标。
HP:0031419	代谢紊乱/稳态失衡	Reduced sex -hormone binding protein level	A decreased concentration of sex-hormone binding protein in the circulation.	性激素结合蛋白水平降低	血液中性激素结合蛋白浓度降低。
HP:0031420	眼部异常	Small yellow foveal lesion with surrounding grey zone	A lesion that is observed following light damage to the macula. Damage to the retinal by exposure to intense visible light, usually the sun. Intense light exposure such as staring at the sun causes fine structural anomalies in the outer segments of the photoreceptors and the retinal pigment epithelium (RPE) cells of the macula. Symptoms usually develop within 1 to 4 h after exposure and include decreased vision, metamorphopsia, micropsia, and central or paracentral scotomas. Fundus examination typically shows a small yellow spot with a surrounding gray zone in the foveolar or parafoveolar area. Spontaneous evolution leads to the improvement of visual acuity.	中心凹小黄点伴色素晕病变	在黄斑区光损伤后观察到的病变。暴露于强烈可见光，通常是太阳光，对视网膜造成的损伤。强光下暴露，如盯着太阳，会导致黄斑区光感受器外段和视网膜色素上皮细胞的精细结构异常。症状通常在暴露后1~4h内发展，包括视力下降、视物变形、视物变小、中央或旁中央暗点。眼底检查典型地表现为在中心凹或旁中心凹区可见黄色小点，被灰色带围绕。自然进化导致视敏度的提高。
HP:0031421	神经系统异常	Small superior frontal cortex	Reduced size of the superior frontal portion of the cerebral cortex.	小额上回	大脑皮质额上部分缩小的尺寸
HP:0031422	神经系统异常	Abnormal morphology of the cerebellar cortex	['Any structural anomaly of the cortex of the cerebellum.']	小脑皮质形态异常	小脑皮质的任何结构异常
HP:0031423	神经系统异常	Small cerebellar cortex	Reduced size of the cerebellar cortex.	小脑皮质缩小	小脑皮质缩小
HP:0031424	代谢紊乱/稳态失衡	Abnormal circulating beta-C-terminal telopeptide level	A deviation from the normal concentration of beta-C-terminal telopeptide of type I collagen in the blood circulation, a marker of the rate of bone turnover.	β-C端交联肽水平异常	血液中1型胶原的β-C端肽浓度不在正常范围内。β-C端肽是反映骨转化率的标志物。
HP:0031425	代谢紊乱/稳态失衡	Increased circulating beta-C-terminal telopeptide level	A abnormal elevation above the normal concentration of beta-C-terminal telopeptide of type I collagen in the blood circulation.	β-C端肽水平增高	血液中1型胶原β-C端肽浓度高于正常水平。
HP:0031426	代谢紊乱/稳态失衡	Decreased circulating beta-C-terminal telopeptide level	A reduction from the normal concentration of beta-C-terminal telopeptide of type I collagen in the blood circulation.	β-C端肽水平降低	血液中1型胶原β-C端肽浓度低于正常水平。
HP:0031427	内分泌系统异常	Abnormal circulating osteocalcin level	A deviation from the normal concentration of osteocalcin in the blood circulation.	循环骨钙素水平异常	血液中骨钙素浓度偏离正常范围
HP:0031428	内分泌系统异常	Increased circulating osteocalcin level	An elevated level of osteocalcin in the blood.	循环骨钙素水平升高	血中骨钙素水平升高
HP:0031429	内分泌系统异常	Decreased circulating osteocalcin level	A reduced level of osteocalcin in the blood.	循环骨钙素水平降低	血中骨钙素水平降低
HP:0031430	免疫系统异常,代谢紊乱/稳态失衡	Oligoclonal T cell expansion	['The presence of a population of T cells with a restricted T cell receptor (TCR) repertoire derived from a limited number of TCR clones.']	寡克隆T细胞扩增 	包含T细胞受体（TCR）类型有限的T细胞群。该细胞群源于有限TCR克隆的扩增。
HP:0031431	神经系统异常	Persistent repetition of words	['Repetitive use of words, phrases, intonation, or sounds of speech, often of the speechof others.']	重复言语	通常在别人说话的时候重复使用单词、短语、语调或说话的声音。
HP:0031432	神经系统异常	Persistent repetition of actions	['Repeated and inappropriate mechanical repetition of actions.']	重复动作	重复和不适当的机械重复动作
HP:0031433	神经系统异常	Alexithymia	['A deficit in emotional awareness characterized by difficulties in recognizing and expressing feelings and emotions manifested as a limited ability to respond to facial clues or other signs of emotions in others often accompanied by detached connections to others.']	述情障碍	情感意识缺陷，其特点是难以识别、表达情感和情绪；表现为对面部表情或其他情感信号的反应能力限制，往往伴随与他人脱离社会联系。
HP:0031434	声音异常	Abnormal speech prosody	['An anomaly of the expressive patterns of speech that involve intonation, stress pattern, loudness variations, pausing, articulatory force, and rhythm.']	说话韵律异常	“说话的表达方式异常，包括语调、重音模式、强度变化、停顿、发音力度和节奏。”
HP:0031435	声音异常	Monotonic speech	['A speech pattern characterized by abnormally reduced or lacking variability of the pitch of the voice.']	语调乏味	“一种说话模式，其特点是声音的音调异常的低或缺乏变化。”
HP:0031436	声音异常	Increased pitch variability of speech	['A speech pattern characterized by abnormally elevated variability of the pitch of the voice.']	语调变化过频	“一种说话模式，其特点是声音音调的变化异常频繁。”
HP:0031437	胎儿产前发育或出生异常	Pregnancy exposure	Exposure of pregnant women to toxins from any source, such as environmental toxins or chemicals, that may potentially cause problems such as miscarriage, preterm delivery, low birth weight, and, in some cases, developmental delays in infants.	妊娠期暴露	怀孕期妇女受到的任何来源的毒素暴露，如环境毒素或化学物质，具有导致诸如流产、早产、出生低体重，甚至婴儿发育迟缓等问题的风险。
HP:0031438	代谢紊乱/稳态失衡	Abnormal sex hormone-binding globulin level	A deviation from the normal concentration in the circulation of sex hormone-binding globulin, a circulating glycoprotein that transports testosterone and other steroids in the blood.	性激素结合球蛋白水平异常	血液中性激素结合球蛋白的浓度不在正常范围内。性激素结合球蛋白是一种在血液中转运睾酮和其他类固醇激素的糖蛋白。
HP:0031439	代谢紊乱/稳态失衡	Abnormal angiostatin level	A deviation from the normal concentration in the circulation of angiostatin, an endogenous angiogenesis inhibitor, which blocks the growth of new blood vessels.	血管抑素水平异常 	血管抑素浓度不在正常范围内。血管抑制素是一种内源性血管生成抑制因子，可抑制新生血管的生长。
HP:0031441	心血管系统异常	Abnormal tricuspid valve annulus morphology	['Any structural anomaly of the annulus of the tricuspid valve. The annulus is a ring composed of fibrous and myocardial tissue and is the structure onto which the cusps of the valve attach.']	三尖瓣环形态异常	三尖瓣上的结构异常。三尖瓣环由纤维和心肌组织构成，是尖瓣附着的结构
HP:0031442	心血管系统异常	Abnormal tricuspid chordae tendinae morphology	['Any structural anomaly of the chordae tendinae of the tricuspid valve. The chordae tendineae connect the papillary muscles to the tricuspid valve.']	三尖瓣腱索形态异常	三尖瓣腱索上的结构异常。腱索连接乳头肌和三尖瓣
HP:0031443	心血管系统异常	Abnormal tricuspid valve leaflet morphology	['Any structural anomaly of the leaflets (also known as cusps) of the tricuspid valve.']	三尖瓣小叶结构异常	三尖瓣小叶上的结构异常
HP:0031444	心血管系统异常	Dilatation of the tricuspid annulus	An increase in the diameter of the ring (annulus) of the tricuspid valve.	三尖瓣环扩张	三尖瓣环直径增加
HP:0031445	头部和颈部的异常	Oral mucosa nodule		口腔黏膜结节	
HP:0031446	头部和颈部的异常	Erosion of oral mucosa	['Loss of the superficial layer of the oral mucosa usually resulting in a shallow or crusted lesion.']	口腔黏膜的侵蚀	['口腔黏膜浅层的丧失，通常导致浅表或硬结的病变']
HP:0031447	泌尿生殖系统异常	Penile freckling	['Multiple pigmented macules located on the skin of the penis.']	阴茎斑点	阴茎皮肤上有多个色素斑点。
HP:0031448	体壁的异常	Herpetiform vesicles	['Multiple vesicles distributed in mutiple distinct groups consisting of multiple adjacent vesicles.']	疱疹样水泡	许多水泡分布在多个独立的、由多个相邻的水泡形成的区域中。
HP:0031449	肿瘤,心血管系统异常	Perineal hemangioma	['Hemangioma, a benign tumor of the vascular endothelial cells, located in the perineal region, i.e., the region between the anus and the genitals.']	会阴血管瘤	位于会阴区，即肛门和生殖器之间的区域的良性血管内皮细胞的肿瘤
HP:0031450	临床调节因素	Polycyclic	['A distribution of skin lesions resembling multiple merged circles. For instance, this can be seen with multiple urticarial wheals as the individual, circular wheals resolve and merge.']	多环的	皮肤病变的分布像多个合并在一起的彼此重叠圆圈。例如，多个荨麻疹局长一起，单独的、圆形轮状的，消退和融合。
HP:0031451	结缔组织异常	Lower extremity subcutanous fat hypertrophy	An abnormal increase in the amount of subcutaneous fat in the legs.	下肢皮下脂肪增生	腿部皮下脂肪的不正常增加
HP:0031452	体壁的异常	Lichenoid skin lesion	Mutliple skin lesions resembling those characteristic of the disease lichen planus. These lesions are violaceous (reddish-purple). shiny, isolated, flat-topped papules and plaques.	皮肤苔藓样变	具有扁平苔藓疾病特征的多发性皮肤病变。 这些病变为紫罗兰色的（红紫色）、具有光泽的，孤立的，平顶丘疹和斑块
HP:0031453	头部和颈部的异常	Oral lichenoid lesion	Mutliple lesions of the oral mucosa resembling those characteristic of the disease lichen planus. These are symmetric reticular lesions that resemble a white, lacelike network, as well as by papules, plaques, erythematous lesions, and erosions.	口腔青苔状的损害	口腔黏膜多发性损伤，与扁平苔藓的特征相似。这些是对称的网状病变，类似于白色、花边状的网状结构，以及类似丘疹、斑块、红斑性病变和侵蚀。
HP:0031454	肿瘤,体壁的异常	Apocrine hidrocystoma	A cystic lesions that forms a benign tumor of an apocrine sweat gland.	顶泌汗腺囊瘤	一种囊性的病灶，形成一种顶泌汗腺的良性肿瘤。
HP:0031455	肿瘤,神经系统异常	Presacral ganglioneuroma	['A gangioleneuroma originating from sympathetic ganglion cells in the abdomen.']	骶骨前的星形胶质细胞瘤	神经胶质细胞瘤，源自腹部交感神经节细胞
HP:0031456	胎儿产前发育或出生异常	Ectopic pregnancy	['A pregnancy in which the fertilized egg inserts in a location outside of the main cavity of the uterus (usually in the Fallopian tube).']	异位妊娠	受精卵着床在宫腔以外的地方（通常为输卵管）
HP:0031457	呼吸系统异常	Pulmonary opacity	['Any lesion observed on an imaging study of the lung that is associated with increased density (usually showing as increased whiteness in the image).']	肺不透光度增加	在肺影像学检测中观察到与密度增加有关的病变（通常表现为图像亮度增加）。
HP:0031458	免疫系统异常,头部和颈部的异常	Adenoiditis	['inflammation of the adenoid tissue.']	腺样组织炎	腺体组织的炎症
HP:0031459	肿瘤	Soft tissue neoplasm	A tumor (abnormal growth of tissue) that arises from the soft tissue. The most common types are lipomatous (fatty), vascular, smooth muscle, fibrous, and fibrohistiocytic neoplasms.	软组织肿瘤	由软组织产生的肿瘤(组织异常生长)。最常见的类型是脂肪、血管、平滑肌、纤维和纤维组织细胞肿瘤。
HP:0031460	肿瘤	Benign muscle neoplasm	A benign mesenchymal neoplasm arising from smooth, skeletal, or cardiac muscle tissue [NCIT:C4882].	良性肌肉肿瘤	一种良性的间质瘤，由平滑、骨骼或心肌组织发生[NCIT:C4882]。
HP:0031461	肿瘤	Intramuscular Myxoma	A benign tumor that is usually solitary, painless, palpable mass that is firm in consistency and slightly movable and often fluctuant. It can occur in any location, but tends to involve the muscles of the thighs, buttocks, and shoulders. On microscopic examination, there is abundant mucoid material and relative hypo cellularity and loose reticulin fibers. Vascular structures are sparse. The cells have a stellate shape with small hyper chromatic pyknotic nuclei and scanty cytoplasm. Some myxomas may show focal areas of hyper cellularity. However absence of nuclear atypia, mitotic figures or necrosis helps to rule out malignancy.	肌内粘液瘤	一种良性肿瘤，通常是孤独的、无痛的、可触知的肿块，它是稳定的、可轻微的活动，经常波动。它可以发生在任何部位，但往往好发于大腿、臀部和肩膀的肌肉。在显微镜检查中，有丰富的黏液物质和相对的低细胞结构和疏松的网状纤维。血管结构较少。细胞呈星状，有小的深染的致密的核和稀疏的细胞质。一些粘液瘤可能表现出高度细胞性的灶性区域。然而，没有核异型性、有丝分裂相或坏死有助于排除恶性肿瘤。
HP:0031462	结缔组织异常	Musculotendinous retraction	['Abnormal reduction in length of a tendon which tends to pull (retract) the attached muscle tissue with shortening of the muscle fibers often accompanied by atrophy and fatty degeneration of the affected muscle tissue.']	肌肉腱回缩	['肌腱长度的异常减少，牵拉(收缩)附着的肌肉组织，导致肌肉纤维缩短，并伴有受累肌肉组织的萎缩和脂肪变性。']
HP:0031463	肿瘤,消化系统异常	Esophageal squamous papilloma	A rare benign epithelial tumor that is usually asymptomatic but can present with pyrosis and epigastric discomfort with or without dysphagia. Histopathologically, esophageal squamous papilloma has fingerlike projections lined with acanthotic stratified squamous epithelium with conservation of normal cellular with or without cellular atypia.	食管鳞状上皮乳头状瘤	一种罕见的良性上皮肿瘤，通常无症状，但可伴有胃灼热和上腹部不适，伴或不伴吞咽困难。病理组织学上，食管鳞状上皮乳头状瘤有指状突起，内衬有棘突层状鳞状上皮，可观察到有异型性的和无异型性的正常细胞。
HP:0031464	体壁的异常	Genital blistering	['The presence of one or more bullae on the skin of the genital region, defined as fluid-filled blisters more than 5 mm in diameter with thin walls.']	生殖器水泡	分布在生殖器区域内，直径大于5mm，外壁纤薄的一个或多个水疱
HP:0031465	心血管系统异常	Abnormal vasa vasorum morphology	A structural anomaly of vasa vasorum, which are defined as small blood vessels that supply or drain the walls of larger arteries and veins, delivering nutrients and oxygen as well as removing systemic waste products.	血管滋养管畸形	血管滋养管的结构异常，即在较大的动脉和静脉壁中提供营养和氧气以及排出废物的小血管的结构异常。
HP:0031466	神经系统异常	Impairment in personality functioning	A maladaptive personality trait characterized by moderate or greater impairment in personality (self /interpersonal) functioning.	人格障碍	一种适应不良的人格特征，其特征是中度或重度的人格功能损害（自我/人际）。
HP:0031467	神经系统异常	Negative affectivity	A stable tendency to experience negative emotions, i.e., a disposition to experience aversive emotional states.	负性情感	消极情绪体验，即厌恶情绪状态的倾向性。
HP:0031468	神经系统异常	Separation insecurity	Fears of rejection by and/or separation from significant others, associated with fears of excessive dependency and complete loss of autonomy.	分离焦虑	害怕被亲密关系的人排斥和/或脱离，伴随与过度依赖的焦虑和自主性完全丧失。
HP:0031469	神经系统异常	Low self esteem	['Negative opinion about oneself characterized by low self-confidence and exaggeratedly critical feelings about oneself.']	低自尊	对自己的负面评价。表现为低自信和夸大的自我批判情绪。
HP:0031472	神经系统异常	Risk taking	Engagement in dangerous, risky, and potentially self-damaging activities, unnecessarily and without regard to consequences; lack of concern for one's limitations and denial of the reality of personal danger.	冒险行为	不必要地或者不计后果地参与危险、冒险或者有潜在自我伤害可能的活动；意识不到自身局限性，否认个人危险的存在。
HP:0031473	神经系统异常	Hostility	Persistent or frequent angry feelings; anger or irritability in response to minor slights and insults.	敌意	持续或频繁的愤怒情绪；对轻微的轻蔑和侮辱作出愤怒或易怒反应。
HP:0031474	呼吸系统异常,肿瘤	Pulmonary chondroma	A benign cartilaginous tumors of the lung.	肺软骨瘤 	肺部良性软骨瘤。 
HP:0031475	神经系统异常	Nonconvulsive status epilepticus	A cognitive or behavioral change that lasts for at least 30 minutes, with evidence of seizures on electroencephalogram.	非惊厥性癫痫持续状态	持续至少30分钟的认知或行为变化，脑电图上有癫痫发作的证据。
HP:0031478	心血管系统异常	Abnormal mitral valve annulus morphology	['Any structural anomaly of the annulus of the mitral valve. The annulus is a ring composed of fibrous and myocardial tissue and is the structure onto which the cusps of the valve attach.']	二尖瓣环形态异常	二尖瓣环上的结构异常。环面由纤维和心肌组织构成，是尖瓣附着的结构
HP:0031479	心血管系统异常	Dilatation of the mitral annulus	['An increase in the diameter of the ring (annulus) of the mitral valve.']	二尖瓣环扩张	二尖瓣环直径增加
HP:0031480	心血管系统异常	Abnormal mitral valve leaflet morphology	['Any structural anomaly of the leaflets (also known as cusps) of the mitral valve.']	二尖瓣小叶形态异常	二尖瓣小叶结构异常
HP:0031481	心血管系统异常	Abnormal mitral valve physiology	['Any functional anomaly of the mitral valve.']	二尖瓣生理异常	二尖瓣的任何功能性缺陷
HP:0031482	心血管系统异常	Abnormal regional left ventricular contraction	['A wall motion abnormality observed upon left ventricular contraction that affects a specific region of the left ventricle.']	左心室局部收缩异常	左心室的特定区域在心室收缩时观察到的室壁运动异常
HP:0031483	心血管系统异常	Reduced contraction of the left ventricular apex	Reduced wall motion (contraction) of the apex of the left ventricle. This manifestation can be observed on echocardiography.	左室心尖收缩变缓	左心室心尖的室壁运动（收缩）变慢，可在心电图上看到这种现象
HP:0031484	血液和造血组织异常	Cold-induced hemolysis	['A form of hemolytic anemia that can be triggered by cold temperatures.']	低温诱导的溶血	一种可由低温引发的溶血性贫血。
HP:0031485	骨骼系统异常	Subperiosteal bone formation	['The formation of new bone along the cortex and underneath the periosteum of a bone.']	骨膜下骨形成	在骨的皮层及骨膜下形成新骨。
HP:0031486	头部和颈部的异常	Vascular malformation of the lip	['An anomaly of blood vessels located in the lip.']	嘴唇的血管畸形	['位于嘴唇上的血管异常']
HP:0031487	头部和颈部的异常	Capillary malformation of the lip	['A vascular malformation located in the lip that is characterized by nectatic papillary dermal capillaries and postcapillary venules in the upper reticular dermis.']	嘴唇毛细血管畸形	['位于嘴唇上的血管畸形，其特征是发生在上网状真皮的乳头状真皮毛细血管和毛细血管后静脉']
HP:0031488	头部和颈部的异常	Arteriovenous malformation of the lip	A vascular malformation located in the lip that is characterized by direct blood shunting from an artery to a vein due to the absence of a capillary bed. The artery and vein can be directly connected by a fistula or indirectly connected by an abnormal vessel channel termed a nidus.	嘴唇动静脉畸形	嘴唇上的一种血管畸形，其特征是由于缺少毛细血管床，血液直接从动脉流向静脉。动脉和静脉间可以通过瘘管直接连接，或通过被称为窝（nidus）的异常血管通道间接连接
HP:0031489	头部和颈部的异常	Venous malformation of the lip	A vascular malformation located in the lip that is related to abnormal vascular morphogenesis.	嘴唇静脉畸形	嘴唇的一种血管畸形，与血管塑形异常有关。
HP:0031490	头部和颈部的异常	Hemangioma of the lip	A vascular malformation located in the lip that is related to vascular endothelial cell hyperplasia.	嘴唇血管瘤	嘴唇上的血管畸形，与血管内皮细胞增生有关
HP:0031491	神经系统异常	Continuous spike and waves during slow sleep	Diffuse, bilateral and recently also unilateral or focal localization spike-wave occurring in slow sleep or non-rapid eye movement sleep.	慢波睡眠期持续棘慢波的癫痫	慢波睡眠或者非快眼动睡眠中，弥漫性、双侧性，近期发现也可单侧存在的棘慢波
HP:0031492	肿瘤	Epithelial neoplasm	A benign or malignant neoplasm that arises from and is composed of epithelial cells. This category include adenomas, papillomas, and carcinomas [NCIT:C3709].	上皮肿瘤	源自并由上皮细胞构成的良性或恶性肿瘤。这一类包括腺瘤、乳头瘤和癌[NCIT：C3709]。
HP:0031493	肿瘤	Glandular cell neoplasm	A tumor that arises from a gland cell.	腺细胞瘤	由腺细胞产生的肿瘤。
HP:0031494	肿瘤	Ovarian mucinous tumor	Ovarian mucinous neoplasms consist of borderline tumors (tumors of low malignant potential, or LMP tumors), intraepithelial (non-invasive) carcinoma, and invasive carcinoma.	卵巢粘液性肿瘤	卵巢黏液肿瘤包括边缘肿瘤(低恶性肿瘤或LMP肿瘤)、上皮内(非侵袭性)癌和浸润性癌。
HP:0031495	肿瘤	Mucinous neoplasm		粘液性肿瘤	
HP:0031496	肿瘤	Mucinous cystic neoplasm of the pancreas	Mucin-producing and septated cyst-forming epithelial neoplasia of the pancreas with a distinctive ovarian-type stroma.	"胰腺粘液囊性肿瘤。
"	胰脏内的黏膜形成和隔膜，形成独特的卵巢型间质瘤。
